,AccountOwnerId,Account Name,ServiceAdministratorId,SubscriptionId,SubscriptionGuid,Subscription Name,Date,Month,Day,Year,Product,Meter ID,Meter Category,Meter Sub-Category,Meter Region,Meter Name,Consumed Quantity,ResourceRate,ExtendedCost,Resource Location,Consumed Service,Instance ID,ServiceInfo1,ServiceInfo2,AdditionalInfo,Tags,Store Service Identifier,Department Name,Cost Center,Unit Of Measure,Resource Group,Charges Billed Separately
35050,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.0029,0.002888316758711,8.3761186e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
35330,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,Bandwidth - Data Transfer Out - Zone 1,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,,Zone 1,Data Transfer Out,2.596883,0.705336192069508,1.8316755664700402,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
35540,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,Functions - Total Executions,4e5cd9e2-c20f-4d7f-acbe-58931b8b49ef,Functions,,,Total Executions,36.0,1.4179846249000002e-05,0.000510474464953,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,5000000,worleyparsonsrnd-00,False
35752,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.10800000000000001,0.404232552609678,0.04365711568184501,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
35791,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Tables - Read Operations,12da282f-7e96-49e2-983a-9a65da2a4866,Storage,Tables,,Read Operations,0.0018,0.0024649119779929997,4.43684156e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100000000,worleyparsonsrnd-00,False
35847,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.1183,0.0029169318062559997,0.00034507303268000003,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
36837,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,IP Addresses - Basic - Dynamic Public IP,f114cb19-ea64-40b5-bcd7-aee474b62853,Virtual Network,IP Addresses,,Dynamic Public IP,24.0,0.032449814990258,0.778795559766191,SouthCentralUS,Microsoft.Network,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Network/publicIPAddresses/pidparse-prdip-address,,,,,,Unassigned,,200 Hours,worleyparsonsrnd-00,False
36912,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/08/2019,11,8,2019,Functions - Execution Time,2a384075-01d7-4f66-a84a-0eed3ca58876,Functions,,,Execution Time,82.97375,6.4916486087e-05,0.005386364287474,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,50000 GB Seconds,worleyparsonsrnd-00,False
37018,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.0515,0.404232552609678,0.020817976459398,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
37294,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,IP Addresses - Basic - Dynamic Public IP,f114cb19-ea64-40b5-bcd7-aee474b62853,Virtual Network,IP Addresses,,Dynamic Public IP,24.0,0.032449814990258,0.778795559766191,SouthCentralUS,Microsoft.Network,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Network/publicIPAddresses/pidparse-prdip-address,,,,,,Unassigned,,200 Hours,worleyparsonsrnd-00,False
37446,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Tiered Block Blob - Hot LRS - Data Stored - US South Central,b40c3368-de55-4653-b7fd-5d3faca0b1df,Storage,Tiered Block Blob,US South Central,Hot LRS Data Stored,0.39392,0.13660621394856698,0.053811919798619004,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
37461,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Files - Protocol Operations,6a99015c-d33f-4f46-ae59-2e4d14091aa8,Storage,Files,,Protocol Operations,0.1562,0.012168499217229,0.0019007195777310001,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
37716,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0029,0.00291847671063,8.463582461000001e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
37776,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,Files - LRS - Write Operations,f90f81d2-238a-49d0-9f1b-9df13a859843,Storage,Files,,LRS Write Operations,0.11199999999999999,0.121701140403635,0.013630527725206999,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
37803,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Bandwidth - Data Transfer In - Zone 1,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Bandwidth,,Zone 1,Data Transfer In,0.151065,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
37873,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/08/2019,11,8,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.0957,0.0029169318062559997,0.00027915037385900005,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
37926,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/08/2019,11,8,2019,Tables - Batch Write Operations,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Storage,Tables,,Batch Write Operations,0.0146,0.0029169318062559997,4.2587204371e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100000000,worleyparsonsrnd-00,False
38111,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,Bandwidth - Data Transfer In - Zone 1,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Bandwidth,,Zone 1,Data Transfer In,0.41810200000000003,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
38207,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Bandwidth - Data Transfer In - Zone 1,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Bandwidth,,Zone 1,Data Transfer In,1.8e-05,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10 GB,worleyparsonsrnd-00,False
38304,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,Files - Protocol Operations,6a99015c-d33f-4f46-ae59-2e4d14091aa8,Storage,Files,,Protocol Operations,0.1515,0.012168499217229,0.00184352763141,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
38760,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/08/2019,11,8,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.000153,0.36509477815015995,5.5859501057e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
39080,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/08/2019,11,8,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0031,0.00291847671063,9.047277803e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
39466,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Tables - Read Operations,12da282f-7e96-49e2-983a-9a65da2a4866,Storage,Tables,,Read Operations,0.0213,0.0024649119779929997,5.2502625131000004e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
39469,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Files - LRS Data Stored,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,Storage,Files,,LRS Data Stored,0.000576,0.48626173370001,0.000280086758611,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
39665,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Tables - Read Operations,12da282f-7e96-49e2-983a-9a65da2a4866,Storage,Tables,,Read Operations,0.0195,0.0024649119779929997,4.8065783571000004e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
39972,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0031,0.00291847671063,9.047277803e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
40231,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Tiered Block Blob - Hot LRS - Write Operations - US South Central,8fde27a4-f37c-4af2-ab00-f53eac8f1925,Storage,Tiered Block Blob,US South Central,Hot LRS Write Operations,0.0529,0.404232552609678,0.021383902033052,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
40632,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,Tables - LRS Data Stored,3f2b1e1c-c886-4ec6-ad6f-dd0ef38819c9,Storage,Tables,,LRS Data Stored,0.000168,0.36509477815015995,6.1335922729e-05,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
40983,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.0021,0.002888316758711,6.065465193e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
41026,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,Tiered Block Blob - All Other Operations - US South Central,2029d7c3-b78c-44a8-ba9e-4ae3ed6e372e,Storage,Tiered Block Blob,US South Central,All Other Operations,3.1281,0.032315596570456,0.10108641763204401,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,1000000,worleyparsonsrnd-00,False
41370,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Files - LRS Data Stored,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,Storage,Files,,LRS Data Stored,0.000576,0.48626173370001,0.000280086758611,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
41515,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,General Block Blob - Write Operations,211e620c-ebcf-4db5-a7fd-996abebe9546,Storage,General Block Blob,,Write Operations,0.0029,0.00291847671063,8.463582461000001e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
41548,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.003,0.002888316758711,8.664950276000001e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
42373,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/10/2019,11,10,2019,IP Addresses - Basic - Dynamic Public IP,f114cb19-ea64-40b5-bcd7-aee474b62853,Virtual Network,IP Addresses,,Dynamic Public IP,24.0,0.032449814990258,0.778795559766191,SouthCentralUS,Microsoft.Network,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Network/publicIPAddresses/pidparse-prdip-address,,,,,,Unassigned,,200 Hours,worleyparsonsrnd-00,False
42941,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Queues - LRS - Class 1 Operations,b90587a9-b1d5-4bd7-9d0b-e5d4a255a384,Storage,Queues,,LRS Class 1 Operations,0.0002,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
42949,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Files - Read Operations,761abab8-259d-4206-a6ae-707ed03fc540,Storage,Files,,Read Operations,0.2662,0.012169223241601999,0.0032394472269139996,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
43060,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,Files - LRS Data Stored,ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf,Storage,Files,,LRS Data Stored,0.000576,0.48626173370001,0.000280086758611,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100 GB/Month,worleyparsonsrnd-00,False
43067,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/06/2019,11,6,2019,Files - LRS - Write Operations,f90f81d2-238a-49d0-9f1b-9df13a859843,Storage,Files,,LRS Write Operations,0.1925,0.121701140403635,0.023427469527699998,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,10000000,worleyparsonsrnd-00,False
43465,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,Bandwidth - Data Transfer In - Zone 1,32c3ebec-1646-49e3-8127-2cafbd3a04d8,Bandwidth,,Zone 1,Data Transfer In,0.400001,0.0,0.0,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/pidparsefiles,,,,,,Unassigned,,10 GB,worleyparsonsrnd-00,False
43639,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/07/2019,11,7,2019,General Block Blob - List and Create Container Operations,f8c187bb-5a47-46ae-b874-f186d207fff4,Storage,General Block Blob,,List and Create Container Operations,0.0029,0.002888316758711,8.3761186e-06,ussouthcentral,Microsoft.Storage,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourceGroups/worleyparsonsrnd-00/providers/Microsoft.Storage/storageAccounts/storagewrapperstorage,,,,"{  ""hidden-related:/providers/Microsoft.Web/sites/PidParseStorageWrapper"": ""empty""}",,Unassigned,,100000000,worleyparsonsrnd-00,False
43744,jeff@arundo.com,Jeff (PAYG to EA),,0,1cc854bf-9013-426a-ae29-d820b837fc12,BizSpark Plus(Converted to EA),11/09/2019,11,9,2019,Azure App Service Free Plan - F1,c0f5cb45-6fb1-41c9-8545-72ad400d9da4,Azure App Service,Free Plan,,F1,0.064512,0.0,0.0,SouthCentralUS,Microsoft.Web,/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/sites/pidparsestoragewrapper,,,"{  ""AppServicePlanUri"": ""/subscriptions/1cc854bf-9013-426a-ae29-d820b837fc12/resourcegroups/worleyparsonsrnd-00/providers/microsoft.web/serverfarms/pidparsestoragewrapperplan""}",,,Unassigned,,1 Hour,worleyparsonsrnd-00,False
